|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0 2.4074922532004395e-14  1.759036783145667e-15 
      338.0 2.3027354132722405e-14 1.7026711018529987e-15 
      340.0 2.0667003431030502e-14 1.5360852737858552e-15 
      342.0  1.880118733870892e-14 1.3952877501270451e-15 
      344.0 1.8899447654089976e-14 1.3985183632811439e-15 
      346.0 1.9469863105747244e-14 1.4400430499574018e-15 
      348.0  1.881009304038072e-14 1.3900542054852485e-15 
      350.0 1.7405579414410516e-14  1.282042916229871e-15 
      352.0 1.7884193601294282e-14 1.3150014035726229e-15 
      354.0 1.9998310303760274e-14  1.476510642318958e-15 
      356.0 2.0053700056004467e-14 1.4871576825634827e-15 
      358.0 1.8340407135887804e-14 1.3580793970930325e-15 
      360.0 1.7981306976285946e-14  1.326379377984742e-15 
      362.0   1.83151110984371e-14 1.3536535545626052e-15 
      364.0  1.767591684312456e-14 1.3141922655307963e-15 
      366.0 1.6186513988608383e-14  1.210873968829978e-15 
      368.0 1.5805649168722424e-14  1.184910482212252e-15 
      370.0  1.757857404222824e-14 1.3235239694578596e-15 
      372.0  2.001086977102742e-14  1.524296321417633e-15 
      374.0 2.1282904524608623e-14 1.6445249328237543e-15 
      376.0  2.213598456702777e-14 1.7283828125465942e-15 
      378.0 2.5453489117862557e-14  1.986360465856379e-15 
      380.0 3.1579145213686344e-14  2.459028364886508e-15 
      382.0 3.7204484173724125e-14 2.8997861875218156e-15 
      384.0  3.987844219374482e-14 3.1088277605665773e-15 
      386.0  4.074916837904177e-14 3.1641830813820136e-15 
      388.0  4.210511907095639e-14  3.245889393590098e-15 
      390.0  4.389883763663443e-14  3.369763294590408e-15 
      392.0 4.4718286694361853e-14  3.436313205535391e-15 
      394.0  4.387092710649144e-14 3.3818150252823186e-15 
      396.0  4.273300853521769e-14 3.2959729036760035e-15 
      398.0 4.3178285396939414e-14  3.313431679532903e-15 
      400.0  4.559984625388041e-14 3.4689174845358323e-15 
      402.0  4.873899157618502e-14 3.6812078089522706e-15 
      404.0  5.010114690970332e-14  3.773620360457928e-15 
      406.0  4.858636304408388e-14 3.6663474244709415e-15 
      408.0 4.4947819726269855e-14 3.4104138457275733e-15 
      410.0   4.12965043757899e-14 3.1530346544945518e-15 
      412.0  3.974432147881329e-14  3.041321655770698e-15 
      414.0 4.1253679584997463e-14 3.1437085401862392e-15 
      416.0  4.475507541100132e-14 3.3842763644145422e-15 
      418.0  4.835978321807113e-14  3.629775440917123e-15 
      420.0  5.029244165843673e-14  3.755644159610221e-15 
      422.0  4.974992001302724e-14  3.707816417953407e-15 
      424.0  4.713328374033849e-14   3.51765179338597e-15 
      426.0  4.364477539950541e-14 3.2715836275928568e-15 
      428.0  4.029837750471445e-14 3.0393722437525864e-15 
      430.0 3.7906655511900925e-14    2.8755394626293e-15 
      432.0  3.662132764265447e-14 2.7865998829400936e-15 
      434.0  3.624650738301784e-14  2.756233346220041e-15 
      436.0  3.660037182147645e-14  2.773264600986867e-15 
      438.0  3.751562785145541e-14 2.8295731153443845e-15 
      440.0  3.865858701866863e-14 2.9038371174592254e-15 
      442.0  3.983380503864253e-14 2.9835394686034315e-15 
      444.0   4.07968186607229e-14  3.050885521022589e-15 
      446.0  4.134782834393407e-14  3.090114235614416e-15 
      448.0   4.13595396425668e-14 3.0900907067660793e-15 
      450.0 4.0832975452952883e-14 3.0494371674483314e-15 
      452.0  3.996291574419172e-14 2.9822236092423227e-15 
      454.0  3.901119337439478e-14  2.908478829789314e-15 
      456.0 3.8191504477318333e-14  2.844894742036399e-15 
      458.0 3.7726186668000964e-14 2.8084242735825097e-15 
      460.0  3.756705976478684e-14 2.7953733542043167e-15 
