|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0  7.429837965770382e-14  8.353868299299717e-15 
      338.0  7.487426434997975e-14  8.582869527493239e-15 
      340.0  6.980808130405969e-14  8.160394708122028e-15 
      342.0  6.416154667467788e-14  7.547247547473306e-15 
      344.0  6.307962172779726e-14  7.335621442275073e-15 
      346.0  6.379797220095054e-14  7.333057369601186e-15 
      348.0  6.201942692084026e-14  7.137480469561413e-15 
      350.0  5.808004804627696e-14  6.753414934400723e-15 
      352.0  5.928943013901426e-14  6.922930151661919e-15 
      354.0  6.616682197118597e-14  7.675812988312316e-15 
      356.0  6.776605251406732e-14  7.834526780291232e-15 
      358.0  6.284400375654873e-14  7.279995763018078e-15 
      360.0    6.0739145851059e-14  7.033428937814706e-15 
      362.0   6.12226525434048e-14  7.061101744044725e-15 
      364.0  6.048021092077058e-14 6.9716316754258545e-15 
      366.0  5.734905030461638e-14   6.65155873714339e-15 
      368.0   5.53079798755143e-14 6.4445018155533064e-15 
      370.0   5.79554577162086e-14  6.712013980347521e-15 
      372.0  6.381681673147984e-14  7.310935375822877e-15 
      374.0  6.782759100401823e-14  7.727073869453648e-15 
      376.0  6.841934980443098e-14  7.786861479359692e-15 
      378.0  7.125648754918829e-14   8.08182953664405e-15 
      380.0   7.98400728025491e-14  8.996666245584171e-15 
      382.0  8.961933325250192e-14 1.0059358887524123e-14 
      384.0  9.397384096565206e-14 1.0559078494558412e-14 
      386.0  9.244673457584723e-14  1.041136891437447e-14 
      388.0  9.037640486465858e-14  1.016921384635016e-14 
      390.0  9.083797563028266e-14   1.01882503785458e-14 
      392.0    9.2310774509987e-14 1.0339493877485794e-14 
      394.0  9.149873106654378e-14 1.0273477774567467e-14 
      396.0  8.826510098061658e-14  9.949547541346703e-15 
      398.0  8.514886892709277e-14  9.610525470000806e-15 
      400.0  8.433627869544127e-14  9.488017886491145e-15 
      402.0  8.612025292637955e-14   9.63856031122246e-15 
      404.0  8.775639430597085e-14  9.792042637026704e-15 
      406.0  8.712227688278378e-14   9.73287314528913e-15 
      408.0  8.380790922526874e-14  9.404077714098127e-15 
      410.0  7.943139795852088e-14   8.95229447919845e-15 
      412.0  7.643244285776397e-14  8.620651875917552e-15 
      414.0  7.660059219128634e-14   8.60526044245825e-15 
      416.0   7.91358185289412e-14  8.837475448373983e-15 
      418.0  8.215031297471724e-14  9.136539820623742e-15 
      420.0  8.361246712589699e-14  9.293420445018252e-15 
      422.0  8.253987582728353e-14  9.194510316942866e-15 
      424.0  7.941568827781895e-14  8.875638666732928e-15 
      426.0  7.570615650371891e-14  8.482559133084305e-15 
      428.0  7.241686102237447e-14   8.11877782672433e-15 
      430.0  7.027076412072154e-14  7.867840453290296e-15 
      432.0  6.904888312391591e-14  7.716245285088216e-15 
      434.0  6.820640508923493e-14  7.613859316753372e-15 
      436.0  6.754799385277283e-14  7.541400149683241e-15 
      438.0   6.71452455574743e-14  7.501441875270524e-15 
      440.0  6.689683568324863e-14  7.475549772063578e-15 
      442.0  6.694759004107981e-14  7.475937604860184e-15 
      444.0  6.720928172072452e-14  7.492989603008901e-15 
      446.0  6.745222000521196e-14  7.504619475642029e-15 
      448.0  6.736597881067492e-14   7.48129452116406e-15 
      450.0  6.672916301875827e-14  7.402259901453985e-15 
      452.0  6.561293531248705e-14  7.275931767090855e-15 
      454.0  6.425396658094861e-14  7.125958679149116e-15 
      456.0  6.290434397735327e-14 6.9768224480238474e-15 
      458.0  6.192381278542763e-14  6.866245444855439e-15 
      460.0  6.129198267016542e-14 6.7917255254966736e-15 
      462.0  6.101008570455361e-14  6.754518295206911e-15 
      464.0  6.086388829534816e-14   6.73253898933691e-15 
