|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0  4.398649786508613e-15 1.1253301833216862e-15 
      338.0 4.2667816622016855e-15 1.1153357517047733e-15 
      340.0  3.724653314334945e-15  9.302620284691058e-16 
      342.0   3.32532539980649e-15  7.932715580441275e-16 
      344.0  3.428993756854483e-15  8.307562865422364e-16 
      346.0  3.633677244998047e-15  9.077347692685571e-16 
      348.0 3.4950596574336892e-15  8.714554952384026e-16 
      350.0 3.1834519188432835e-15  7.747137517507728e-16 
      352.0 3.3608669877458247e-15   8.11893414225607e-16 
      354.0  3.932551132978026e-15  9.487824864889021e-16 
      356.0 3.9499035641235786e-15  9.346388879336445e-16 
      358.0 3.4977660465901227e-15   8.21501394122689e-16 
      360.0 3.4073832785932275e-15  8.290640686448303e-16 
      362.0   3.61425008503264e-15   9.08881504819315e-16 
      364.0  3.681143103262943e-15  9.133689066216922e-16 
      366.0 3.5252998537536537e-15  8.414014432350664e-16 
      368.0 3.5415212055630217e-15  8.437283282174974e-16 
      370.0 3.9589404525186415e-15  9.885475559546368e-16 
      372.0 4.3892426229058045e-15 1.1214061807935825e-15 
      374.0 4.3273521183177415e-15  1.073147497562508e-15 
      376.0  3.917336897261245e-15    9.2347800057537e-16 
      378.0   3.91508790340112e-15  9.294871215950676e-16 
      380.0  4.568073431185287e-15 1.1546868745823546e-15 
      382.0  5.206311197090692e-15  1.348499157772779e-15 
      384.0  5.189575572953713e-15  1.299542061453067e-15 
      386.0  4.739456449929268e-15 1.1224765346651793e-15 
      388.0  4.488726571313557e-15 1.0499621226746854e-15 
      390.0   4.57812661647041e-15 1.1199662432437728e-15 
      392.0  4.690795108646142e-15   1.19752298014438e-15 
      394.0  4.591054997516212e-15 1.1768647648380917e-15 
      396.0  4.453545486912531e-15 1.1079882246777269e-15 
      398.0  4.612239727941276e-15 1.1122781799986449e-15 
      400.0  5.171662699761238e-15 1.2444861512052057e-15 
      402.0  5.913413813700996e-15 1.4508554999406482e-15 
      404.0  6.409461043916936e-15  1.602602120602749e-15 
      406.0  6.444327404871397e-15 1.6220236010663583e-15 
      408.0  6.124449218960408e-15  1.530167436430359e-15 
      410.0 5.7721468765071175e-15 1.4212051190101351e-15 
      412.0  5.678570156984938e-15 1.3863888256093555e-15 
      414.0 5.9271377888614086e-15 1.4549171722898694e-15 
      416.0  6.310120153700586e-15 1.5687353900780041e-15 
      418.0 6.5643827924383405e-15 1.6470045870233479e-15 
      420.0   6.53226568187233e-15  1.638558266121846e-15 
      422.0   6.24885851827332e-15 1.5523034232084178e-15 
      424.0 5.8936703561212065e-15 1.4440785952339894e-15 
      426.0  5.660276819538884e-15 1.3753703005757963e-15 
      428.0 5.6061642714791185e-15 1.3673725486387875e-15 
      430.0  5.693361721673766e-15 1.4073608388227467e-15 
      432.0  5.805778367730335e-15 1.4556618911130178e-15 
      434.0 5.8522771939808866e-15  1.477847993690382e-15 
      436.0  5.837733034773979e-15 1.4695478346519705e-15 
      438.0  5.829052184245046e-15 1.4505910028971857e-15 
      440.0  5.873747361544995e-15  1.442009589249188e-15 
      442.0  6.005335829172284e-15 1.4620615783821465e-15 
      444.0  6.196768128504055e-15 1.5097027701355819e-15 
      446.0  6.386423006067136e-15 1.5689750017326606e-15 
      448.0  6.509104456100321e-15 1.6176945619225777e-15 
      450.0   6.52938261808146e-15 1.6388484798489218e-15 
      452.0 6.4644296159331184e-15 1.6301061073090642e-15 
      454.0 6.3622312743368644e-15  1.601133242740696e-15 
      456.0  6.272099620182722e-15 1.5667314484291263e-15 
      458.0  6.242508058204183e-15 1.5446905987383013e-15 
      460.0  6.269003815283873e-15 1.5400260617294101e-15 
      462.0  6.338756439162247e-15 1.5535962882351445e-15 
