|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0 1.1725281772331497e-15 1.6590333310946113e-16 
      338.0 1.1350052499375928e-15 1.6030291347623443e-16 
      340.0 1.0329810967011096e-15  1.447080129702159e-16 
      342.0  9.422944576998878e-16 1.3224603124376985e-16 
      344.0  9.408969709990499e-16 1.3236078949699463e-16 
      346.0  9.578132160782826e-16  1.337896309998855e-16 
      348.0  9.194275240964749e-16 1.2632753332571168e-16 
      350.0  8.755196020918524e-16 1.2100950012577626e-16 
      352.0   9.62440831578566e-16  1.379103684713901e-16 
      354.0 1.1138492744162044e-15  1.610326279140665e-16 
      356.0  1.080628337853117e-15  1.526886843285124e-16 
      358.0  9.287251721004087e-16 1.2928790466840134e-16 
      360.0   8.97269259701528e-16 1.2751473780648435e-16 
      362.0  9.707714158282508e-16 1.4085733377289945e-16 
      364.0   1.03576596555437e-15 1.4807614031008316e-16 
      366.0 1.0584813721993666e-15 1.4648950566098858e-16 
      368.0 1.1025710205355621e-15 1.5170571109531282e-16 
      370.0 1.1825890088618265e-15 1.6826406543976025e-16 
      372.0 1.2055891435811775e-15 1.7621372311254086e-16 
      374.0  1.104789548005844e-15 1.5980712677530226e-16 
      376.0  9.681883062391942e-16 1.3500408726337592e-16 
      378.0   9.60887349714112e-16 1.3357600370588083e-16 
      380.0 1.0603358347547823e-15 1.5511358336583538e-16 
      382.0  1.068579778452957e-15 1.6311638382668025e-16 
      384.0  9.178664285570968e-16 1.4080470773504626e-16 
      386.0  7.800762322720238e-16 1.1554074230351976e-16 
      388.0  8.155605482269115e-16 1.1662041854503267e-16 
      390.0  9.605500669890936e-16 1.3858131548060765e-16 
      392.0 1.0566168486134063e-15  1.552630238411044e-16 
      394.0 1.0494271440954573e-15 1.5419658902073624e-16 
      396.0 1.0329618269035665e-15 1.4810236547551002e-16 
      398.0 1.1258989107994184e-15 1.5664593593631238e-16 
      400.0 1.3457006480922245e-15  1.859288028419681e-16 
      402.0 1.6019208418843472e-15 2.2364397323362664e-16 
      404.0 1.7602137564391434e-15 2.4831436837538355e-16 
      406.0 1.7713095798606742e-15 2.5055729086641044e-16 
      408.0 1.6889306246497117e-15   2.37447551101241e-16 
      410.0 1.6158958633253095e-15 2.2486571189176865e-16 
      412.0 1.6223945335629273e-15 2.2482870110441955e-16 
      414.0 1.7059933100519776e-15 2.3798959215584515e-16 
      416.0 1.7897003206266713e-15  2.523929407521997e-16 
      418.0 1.8046371037499152e-15 2.5624306053097245e-16 
      420.0 1.7335599003811712e-15  2.458107182126464e-16 
      422.0 1.6182969493424273e-15 2.2724771952932196e-16 
      424.0 1.5260167084396573e-15  2.115284050327971e-16 
      426.0  1.503539095320362e-15 2.0697884119206043e-16 
      428.0    1.5432481987142e-15 2.1326827184992813e-16 
      430.0 1.6100387621807254e-15  2.246623143798515e-16 
      432.0 1.6609618433225123e-15  2.335526872807684e-16 
      434.0 1.6772091294675596e-15  2.360337526262551e-16 
      436.0 1.6769520924183955e-15 2.3436839611358144e-16 
      438.0 1.6938121079927756e-15 2.3400546552197053e-16 
      440.0  1.745140856646165e-15 2.3870279514562506e-16 
      442.0 1.8327960670701063e-15 2.4984967328153837e-16 
      444.0  1.935619024469975e-15 2.6473681166683644e-16 
      446.0  2.025017469206893e-15  2.786815733995208e-16 
      448.0 2.0790619836145097e-15  2.875189573780263e-16 
      450.0  2.092325612057785e-15 2.8958538609515245e-16 
      452.0  2.078842427303031e-15  2.865227045157528e-16 
      454.0  2.060045722566149e-15  2.816812797085096e-16 
      456.0 2.0522067265804754e-15  2.781705569068941e-16 
      458.0  2.066097624369407e-15 2.7838638729227136e-16 
      460.0 2.0930632478275484e-15 2.8168520421001573e-16 
