|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0 2.3411228124719784e-15 4.3872323921247386e-16 
      338.0 2.2533179236633617e-15  3.991593722318602e-16 
      340.0 2.0367739193073287e-15 3.6233509114929435e-16 
      342.0 1.8076792665958948e-15  3.326768820096495e-16 
      344.0  1.765880481532466e-15 3.2853624865279453e-16 
      346.0  1.812055834942275e-15   3.37882190971839e-16 
      348.0  1.781143911834441e-15  3.404223368718105e-16 
      350.0 1.7299182072597388e-15 3.3593454112996736e-16 
      352.0 1.9212796589370813e-15  3.571602800887353e-16 
      354.0 2.2265652658104626e-15 4.0026181184291923e-16 
      356.0 2.1141119167087118e-15 3.9462218247654597e-16 
      358.0 1.7166711198220797e-15  3.451157879060298e-16 
      360.0  1.576950712508696e-15 3.1892872229631727e-16 
      362.0 1.7298706001108919e-15 3.2826917752115243e-16 
      364.0 1.9436869717157046e-15  3.543248929619614e-16 
      366.0 2.0693410656695114e-15    3.7807363055767e-16 
      368.0 2.1467406999884465e-15 3.9536793671858853e-16 
      370.0 2.1864015505979584e-15 4.0043602109704523e-16 
      372.0 2.0719631808447013e-15 3.8824787219578746e-16 
      374.0 1.7666557787147229e-15 3.6090027227004365e-16 
      376.0 1.5004490945359592e-15 3.4138435550076894e-16 
      378.0 1.5609433057237476e-15  3.530613756578875e-16 
      380.0 1.7998968790867603e-15 3.8542266233424733e-16 
      382.0 1.7561957242583167e-15  3.971493522206286e-16 
      384.0  1.352786012951416e-15 3.7428794091633983e-16 
      386.0 1.0532675566083177e-15  3.504094780838007e-16 
      388.0 1.2113243895557383e-15  3.452404639797403e-16 
      390.0 1.6213333611944907e-15 3.6466634746308795e-16 
      392.0 1.8842795650910562e-15 3.8749633359114097e-16 
      394.0 1.8878327952993487e-15 3.9173830611265955e-16 
      396.0 1.8695214508141492e-15 3.9894430664436374e-16 
      398.0 2.1063939646953845e-15 4.3809549779556496e-16 
      400.0  2.625749950859979e-15  5.101357915235995e-16 
      402.0 3.2054274442533784e-15  5.911898321393602e-16 
      404.0 3.5464541312182662e-15  6.424283538770201e-16 
      406.0  3.559294283324373e-15  6.495708123791744e-16 
      408.0  3.389534403686273e-15  6.294640797126682e-16 
      410.0  3.272489961854712e-15  6.123725623244175e-16 
      412.0 3.3405533047956302e-15  6.168416937960916e-16 
      414.0 3.5486740803022463e-15    6.4128871062397e-16 
      416.0 3.7031729166795386e-15  6.627180057051499e-16 
      418.0  3.662456134411332e-15  6.624008602050341e-16 
      420.0 3.4311398980721395e-15   6.38088760180786e-16 
      422.0   3.15082626802286e-15  6.043534091563944e-16 
      424.0 2.9946966359568758e-15  5.800695879771282e-16 
      426.0 3.0519437564136673e-15  5.768004877703169e-16 
      428.0 3.2651890870923402e-15  5.914653245364063e-16 
      430.0  3.512690989626446e-15  6.143812514935095e-16 
      432.0  3.677583869609437e-15  6.320495437313799e-16 
      434.0  3.725362173290642e-15  6.386484062995212e-16 
      436.0  3.723154551796125e-15   6.41569011226482e-16 
      438.0  3.773637979469402e-15  6.529435344885307e-16 
      440.0  3.929527871693123e-15  6.775852099604737e-16 
      442.0  4.190919006416289e-15  7.147497691126967e-16 
      444.0  4.495020250366109e-15  7.563891903254493e-16 
      446.0  4.762332237178395e-15  7.926335673123402e-16 
      448.0  4.936773424266144e-15  8.161839892362428e-16 
      450.0  5.009553929384335e-15  8.256166269765337e-16 
      452.0  5.021835173665234e-15  8.264452068312581e-16 
      454.0  5.030001040457928e-15  8.263952317076117e-16 
      456.0   5.07145586933685e-15  8.306023418289548e-16 
      458.0  5.164318949609133e-15  8.420273083740731e-16 
      460.0  5.276768282332107e-15  8.564112835799969e-16 
      462.0  5.377697150896064e-15  8.699813200535317e-16 
