|Wavelength|                   Flux|            Flux_error|
|    double|                 double|                double|
|        nm|            W / (m2 nm)|           W / (m2 nm)|
|      null|                   null|                  null|
      336.0   5.232909762977337e-19 1.5479357613147165e-18 
      338.0  -7.077127323573303e-19  7.609087633424759e-19 
      340.0  -4.872931715837582e-19  5.983633401042087e-19 
      342.0   4.162166605088358e-19  3.254425332147242e-19 
      344.0    6.21809840190534e-19 3.3689366895780826e-19 
      346.0   8.179754872713556e-20 3.0585632319635437e-19 
      348.0   -2.99563972643065e-19  2.213130843337967e-19 
      350.0 -1.3857000215233754e-19 2.7284556822214086e-19 
      352.0   4.059960805392723e-20  5.173956733771581e-19 
      354.0  -9.811272933286207e-20   5.09709639698661e-19 
      356.0 -1.4488818412349097e-19  6.353428259862817e-19 
      358.0   7.979193181779116e-21  4.956952039733081e-19 
      360.0  -3.891485902723188e-20 2.5520941358694397e-19 
      362.0  -3.022182463094561e-19  3.486077938958323e-19 
      364.0  -3.818337247307144e-19 3.1799109656961217e-19 
      366.0 -1.0455478167571496e-19 3.7180676724550535e-19 
      368.0  1.6497256843807918e-19 4.1524212947987984e-19 
      370.0   1.851977612964829e-20  5.092135810991975e-19 
      372.0 -3.7209375257212513e-19  4.586063674286182e-19 
      374.0  -5.178314783168027e-19  3.753982214185354e-19 
      376.0  -3.174722775903994e-19  4.304134703830117e-19 
      378.0 -1.4191683250140055e-19 3.3942126245480442e-19 
      380.0  -2.196538800779465e-19 3.7170324926607077e-19 
      382.0 -2.9575312566550005e-19  5.751435523726224e-19 
      384.0 -1.0337191082162558e-19  4.598427110699203e-19 
      386.0  1.4724640048385752e-19  2.778539371628687e-19 
      388.0    9.96064810425373e-20  3.560328999821832e-19 
      390.0 -2.0496893585076043e-19 2.8060992822727853e-19 
      392.0   -4.15135071081635e-19 2.3827851827988844e-19 
      394.0  -3.126907148533551e-19  2.606250343590674e-19 
      396.0  -6.954964841744816e-21 1.7771525008579057e-19 
      398.0   2.258166349274705e-19 1.6011117061068867e-19 
      400.0  2.1089092337941976e-19  1.921211549728403e-19 
      402.0    6.07084863206821e-21 1.2873457372003579e-19 
      404.0  -1.845834265822483e-19  8.539658690246934e-20 
      406.0 -1.9824590835629618e-19 1.3787773359663584e-19 
      408.0 -4.1262261723767926e-20 1.3919215558061214e-19 
      410.0  1.3811722216020066e-19 1.2882439654167825e-19 
      412.0   1.830177806914748e-19  1.445022207084013e-19 
      414.0   5.417246888123802e-20 1.3691044293515607e-19 
      416.0 -1.5117430168795015e-19 1.1596067294115236e-19 
      418.0  -2.794900655570634e-19  1.311375395724141e-19 
      420.0  -2.357965476796782e-19 1.4336740584389585e-19 
      422.0 -4.6030381364925525e-20 1.1312636767118035e-19 
      424.0   1.672633327791345e-19  6.959666206411797e-20 
      426.0  2.7224109727537143e-19  9.248184433542053e-20 
      428.0  2.0974581711589871e-19   1.25347235063592e-19 
      430.0  2.3560215384160567e-20 1.1680487563400066e-19 
      432.0  -1.771293678807709e-19  8.077346218867512e-20 
      434.0 -2.8454385566610617e-19  8.427676164679484e-20 
      436.0 -2.5174528007897313e-19 1.2301604187098423e-19 
      438.0 -1.0857808857974677e-19  1.362238923081485e-19 
      440.0    6.50074616595503e-20  1.123338811006294e-19 
      442.0  1.8336187356908572e-19  7.748659862637944e-20 
      444.0  1.9830886533860213e-19  8.200690010595094e-20 
      446.0  1.1618693405056705e-19 1.0909374608168085e-19 
      448.0 -1.3607505038843207e-20 1.1753286691239701e-19 
      450.0 -1.2715132859862314e-19 1.0006605658202439e-19 
      452.0 -1.7641005827295916e-19  6.790686326389539e-20 
      454.0 -1.4775168393388322e-19 4.9310970721345595e-20 
      456.0  -6.257726942258787e-20  6.518756213784716e-20 
      458.0   3.636310773295644e-20  8.272809469061167e-20 
