|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0 1.0319831398350177e-20 3.3494586032985326e-19 
      338.0 1.1122358918283897e-19  2.514112274337315e-19 
      340.0 2.6109207524825245e-19 2.3510137567361365e-19 
      342.0  2.256555621578992e-19 2.2650307909780693e-19 
      344.0 1.0124942187693836e-19  2.026134741441319e-19 
      346.0 1.5468155395582178e-19 2.0046891549610253e-19 
      348.0  3.274871134764158e-19  2.196533852232666e-19 
      350.0 2.7506582608451707e-19 2.2687644362489963e-19 
      352.0  1.354952356397973e-20  2.341856598718626e-19 
      354.0 2.5790050500183096e-20 2.7548251030200137e-19 
      356.0 3.7893809647366135e-19   3.07140319448723e-19 
      358.0   4.87617498139601e-19   2.61777604919416e-19 
      360.0 2.7428599150177514e-19 1.9068000772129953e-19 
      362.0 1.0360177722693586e-19  1.647060918678807e-19 
      364.0  1.615073369806916e-19 1.9622455762180462e-19 
      366.0 2.3986447170101047e-19 2.2449620463862045e-19 
      368.0  1.448758740654309e-19 2.0417991583247754e-19 
      370.0  4.724016007451191e-20 1.7844555029241515e-19 
      372.0 1.7770959048678203e-19 2.0199371807338773e-19 
      374.0  3.709639349253056e-19 2.4518927166553913e-19 
      376.0 2.8947802279262894e-19 2.3988766277879324e-19 
      378.0 -9.375529673961047e-21 1.8449324040321874e-19 
      380.0 -9.623352868535916e-20  1.634314282410411e-19 
      382.0 1.8329285581628833e-19  1.996097762954903e-19 
      384.0 4.2808453893528097e-19  2.387019452333968e-19 
      386.0 3.0842932514486973e-19  2.318598552805093e-19 
      388.0 4.8345453759102495e-20 1.8936751047589037e-19 
      390.0 3.4835419368540265e-20 1.6893128670755385e-19 
      392.0 2.9554529097222323e-19 1.9292677012356808e-19 
      394.0  5.559567519274765e-19  2.272459467941667e-19 
      396.0  6.025569402940182e-19 2.4702459985546327e-19 
      398.0  4.740100134730377e-19 2.5700861547718434e-19 
      400.0 3.6077273302099444e-19 2.7578125261615393e-19 
      402.0  3.951856038625686e-19 3.1265851732934163e-19 
      404.0  5.367806214687769e-19  3.510076029648227e-19 
      406.0    6.4760195899792e-19 3.7031500972814035e-19 
      408.0  6.355268071527654e-19 3.6528036709553933e-19 
      410.0   5.31393766501442e-19 3.4863349847918387e-19 
      412.0  4.433621353063702e-19 3.3809227214960456e-19 
      414.0  4.486083406312557e-19  3.414049610357114e-19 
      416.0  5.216581164743815e-19  3.455975603217006e-19 
      418.0  5.704258012378376e-19  3.330019169144929e-19 
      420.0  5.218585547639121e-19 2.9820705647668564e-19 
      422.0  3.879892707968845e-19 2.5497333715540715e-19 
      424.0 2.5798954772271797e-19 2.2637759893570563e-19 
      426.0  2.277451212665504e-19 2.2982465016767025e-19 
      428.0  3.271117741907823e-19  2.662879326634358e-19 
      430.0  5.043005701673845e-19 3.2001983386368436e-19 
      432.0  6.654052621369931e-19 3.6802201713083474e-19 
      434.0  7.392534076321256e-19  3.967778822160524e-19 
      436.0  7.227453765198768e-19  4.102323654706164e-19 
      438.0  6.728979090643767e-19 4.2331834653615695e-19 
      440.0  6.613662300891604e-19   4.49248242058688e-19 
      442.0  7.346521035246412e-19  4.948548222349529e-19 
      444.0  8.872406809676357e-19   5.55646105871523e-19 
      446.0 1.0726875117130447e-18   6.20118665160312e-19 
      448.0 1.2343625305584534e-18  6.767397533956232e-19 
      450.0 1.3367886726218415e-18  7.199656383291972e-19 
      452.0 1.3822088809357366e-18  7.526159605873209e-19 
      454.0 1.4010781128587087e-18   7.81523520475334e-19 
      456.0 1.4291501038898693e-18  8.118669206827631e-19 
      458.0 1.4904153307824787e-18 8.4621569427242915e-19 
      460.0 1.5775022118622412e-18  8.787013773694586e-19 
