|Wavelength|                   Flux|            Flux_error|
|    double|                 double|                double|
|        nm|            W / (m2 nm)|           W / (m2 nm)|
|      null|                   null|                  null|
      336.0  -2.660035013213748e-19  1.158201572425171e-19 
      338.0  -2.448364009806584e-19  8.499200694658586e-20 
      340.0  -3.011407312979561e-19  6.934135283198899e-20 
      342.0  -2.344618297002465e-19  5.459349461434048e-20 
      344.0 -1.3136927756106488e-19  5.584086622409881e-20 
      346.0 -1.1058800045658587e-19 4.8668335343617865e-20 
      348.0  -1.586564777098079e-19  5.162198330899808e-20 
      350.0 -1.7857137981300165e-19  5.483954034784808e-20 
      352.0 -1.5216744293934677e-19   5.84472862218425e-20 
      354.0 -1.5015795780125186e-19  6.404328803455222e-20 
      356.0 -1.8411555740443523e-19  5.882654196308721e-20 
      358.0   -1.83761085843321e-19  5.265649387480825e-20 
      360.0 -1.5068285826092243e-19  4.719614953395986e-20 
      362.0  -1.390441097606762e-19  4.427371802434536e-20 
      364.0 -1.8072121485131712e-19 4.7150313087364895e-20 
      366.0  -2.336549733978921e-19  4.590268935246671e-20 
      368.0 -2.2574795616438303e-19 4.8073613039105173e-20 
      370.0 -1.5055265562778068e-19  5.218367872160067e-20 
      372.0  -9.366299220823891e-20  5.339625813189559e-20 
      374.0  -1.246434312975825e-19  5.412356863852589e-20 
      376.0 -2.0772127119708762e-19   5.94688995724623e-20 
      378.0 -2.4703880372183957e-19  6.029806365011903e-20 
      380.0 -2.0127761107547326e-19  5.997098071267206e-20 
      382.0 -1.3558786607729661e-19  6.239644441347441e-20 
      384.0 -1.2743061198397908e-19  5.602815119305389e-20 
      386.0 -1.5653356102836056e-19  5.224238028651181e-20 
      388.0 -1.4947633082191466e-19  4.727777715168203e-20 
      390.0  -8.775465135442932e-20  4.102677796910029e-20 
      392.0 -2.1136494805369357e-20  3.858647638580444e-20 
      394.0   1.491647373910939e-21  3.220731396609748e-20 
      396.0 -2.2288110293840235e-20 2.7164618558824726e-20 
      398.0  -5.719976719051372e-20 2.6224602539451734e-20 
      400.0  -6.862926077183701e-20 2.3513366433721867e-20 
      402.0  -5.127731489729029e-20  2.224289474871687e-20 
      404.0 -2.6016762303241685e-20 2.1871652196956226e-20 
      406.0 -1.7054719296005038e-20  1.938355654876296e-20 
      408.0  -2.970634187621134e-20 1.8656324243457375e-20 
      410.0 -4.8938908465404184e-20  1.920686035968849e-20 
      412.0  -5.537510217358129e-20 1.7571616035141866e-20 
      414.0  -4.315359454464878e-20 1.6800104861806558e-20 
      416.0 -2.3171699041581644e-20  1.773923740134892e-20 
      418.0 -1.2836136974425428e-20 1.7035065791425215e-20 
      420.0 -2.0590178262147082e-20  1.599317668916424e-20 
      422.0 -3.9115053495413916e-20 1.6689242642914424e-20 
      424.0  -5.153525543584779e-20 1.6536768558325635e-20 
      426.0 -4.4986599335302035e-20  1.495199050733532e-20 
      428.0 -2.0117767118178904e-20 1.4587432587288053e-20 
      430.0   9.129837414211031e-21 1.5133178386036232e-20 
      432.0   2.556040522828778e-20 1.4463965778102376e-20 
      434.0  1.9799310538877526e-20  1.359740680620856e-20 
      436.0  -4.071659036737539e-21 1.3957592615758584e-20 
      438.0  -3.198653838177819e-20 1.3999888358944102e-20 
      440.0  -4.843456926629278e-20 1.2748027097159598e-20 
      442.0  -4.509807223033422e-20 1.1923434818305874e-20 
      444.0  -2.450900664848877e-20 1.2557663450522244e-20 
      446.0  2.5494125328785797e-21 1.2970885912116912e-20 
      448.0   2.357150054914813e-20 1.2268293359455815e-20 
      450.0  3.0663119320941307e-20 1.1527070593245477e-20 
      452.0  2.3750893759232965e-20 1.1611371356524429e-20 
      454.0    9.45292511150035e-21   1.16974603828965e-20 
      456.0  -3.024232623214447e-21 1.1159656994068155e-20 
      458.0 -6.5643185453449716e-21 1.0724777368941949e-20 
